pleiades_uri,wikidata_uri,wikidata_label,wikidata_description,wikidata_coordinates,chronique_id,dare_id,geonames_id,gettytgn_id,idaigaz_id,loc_id,manto_id,nomisma_id,topostext_id,trismegistos_id,viaf_id,vici_id,wikipedia_en
https://pleiades.stoa.org/places/207495,http://www.wikidata.org/entity/Q404655,Castrum Tibiscum,Roman fort in Dacia,Point(22.1895 45.4663),,22618,,,,,,,455222UTib,,237451015,,https://en.wikipedia.org/wiki/Tibiscum
https://pleiades.stoa.org/places/207498,http://www.wikidata.org/entity/Q727593,Tihău,"village in Sălaj County, Romania",Point(23.32964 47.227235),,,665108,,,,,,,,,,
https://pleiades.stoa.org/places/207499,http://www.wikidata.org/entity/Q7804553,Timachi,ancient people of Moesia,Point(21.5 43.5),,,,,,,,,,,,,https://en.wikipedia.org/wiki/Timachi
https://pleiades.stoa.org/places/207503,http://www.wikidata.org/entity/Q632572,Tincova,"village in Caraș-Severin County, Romania",Point(22.141109 45.571749),,,665067,,,,,,,,,,
https://pleiades.stoa.org/places/207508,http://www.wikidata.org/entity/Q103198208,Transdierna (Samian Ware Discovery Site),Transdierna as Samian Ware discovery site,Point(22.37 44.7),,,,,,,,,,16059,,,
https://pleiades.stoa.org/places/207510,http://www.wikidata.org/entity/Q270704,Třebíč,town in Czechia,Point(15.881675935 49.2149674),,,3064104,1027575,,n85081817,,,,,144308546,,https://en.wikipedia.org/wiki/T%C5%99eb%C3%AD%C4%8D
https://pleiades.stoa.org/places/207513,http://www.wikidata.org/entity/Q1257541,Triballi,Ancient tribe in the Balkans,,,,,,,,,,425220RTri,2468,,,https://en.wikipedia.org/wiki/Triballi
https://pleiades.stoa.org/places/207534,http://www.wikidata.org/entity/Q1721004,Vajuga,village in Serbia,Point(22.632777777 44.554444444),,,784740,,,,,,,,,,https://en.wikipedia.org/wiki/Vajuga
https://pleiades.stoa.org/places/207535,http://www.wikidata.org/entity/Q2722778,Valakonje,"village in Zaječar District, Serbia",Point(21.9781 43.8689),,,784734,,,,,,,,,,https://en.wikipedia.org/wiki/Valakonje
https://pleiades.stoa.org/places/207541,http://www.wikidata.org/entity/Q3105941,Veliki Jasenovac,"village in Zaječar District, Serbia",Point(22.4333 44.05),,,784583,,,,,,,,,,https://en.wikipedia.org/wiki/Veliki_Jasenovac
https://pleiades.stoa.org/places/207542,http://www.wikidata.org/entity/Q2738189,Veliko Orašje,"village in Podunavlje District, Serbia",Point(21.0878 44.3675),,,784530,,,,,,,,,,https://en.wikipedia.org/wiki/Veliko_Ora%C5%A1je
https://pleiades.stoa.org/places/207547,http://www.wikidata.org/entity/Q752946,Vidolm,"village in Alba County, Romania",Point(23.515832 46.48102),,,662972,,,,,,,,,,
https://pleiades.stoa.org/places/207551,http://www.wikidata.org/entity/Q7932328,Vendenis,cultural heritage monument of Kosovo,Point(21.1832 42.866),,23279,,,,,,,,41337,,,https://en.wikipedia.org/wiki/Vendenis
